<=50K,39,State-gov,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States
<=50K,50,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States
<=50K,38,Private,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States
<=50K,53,Private,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States
<=50K,28,Private,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Cuba
<=50K,37,Private,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States
<=50K,49,Private,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica
>50K,52,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States
>50K,31,Private,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,United-States
>50K,42,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,United-States
>50K,37,Private,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,United-States
>50K,30,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India
<=50K,23,Private,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States
<=50K,32,Private,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50,United-States
>50K,40,Private,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,
<=50K,34,Private,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico
<=50K,25,Self-emp-not-inc,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States
<=50K,32,Private,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States
<=50K,38,Private,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States
>50K,43,Self-emp-not-inc,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States
>50K,40,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
<=50K,54,Private,9,Separated,Other-service,Unmarried,Black,Female,0,0,20,United-States
<=50K,35,Federal-gov,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States
<=50K,43,Private,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,United-States
<=50K,59,Private,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States
>50K,56,Local-gov,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States
<=50K,19,Private,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States
>50K,54,,10,Married-civ-spouse,,Husband,Asian-Pac-Islander,Male,0,0,60,South
<=50K,39,Private,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,United-States
<=50K,49,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
<=50K,23,Local-gov,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,United-States
<=50K,20,Private,10,Never-married,Sales,Own-child,Black,Male,0,0,44,United-States
<=50K,45,Private,13,Divorced,Exec-managerial,Own-child,White,Male,0,1408,40,United-States
<=50K,30,Federal-gov,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,United-States
<=50K,22,State-gov,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,United-States
<=50K,48,Private,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Puerto-Rico
<=50K,21,Private,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States
<=50K,19,Private,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,United-States
>50K,31,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,
<=50K,48,Self-emp-not-inc,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
<=50K,31,Private,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States
<=50K,53,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
<=50K,24,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States
<=50K,49,Private,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
<=50K,25,Private,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States
>50K,57,Federal-gov,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States
